CATEGORY	TICKER	DATE	OPEN	CLOSE
Crypto	ETH-USD	2020-03-30	124.43	132.32
Crypto	BTC-USD	2020-03-30	5878.98	6406.4
Crypto	ETH-USD	2020-03-31	132.32	132.7
Crypto	BTC-USD	2020-03-31	6406.4	6421.42
Crypto	ETH-USD	2020-04-01	132.701	136.45
Crypto	BTC-USD	2020-04-01	6424.02	6666.11
Crypto	ETH-USD	2020-04-02	136.14	141.8
Crypto	BTC-USD	2020-04-02	6666.11	6804.52
Crypto	ETH-USD	2020-04-03	141.177	141.327
Crypto	BTC-USD	2020-04-03	6811.8	6734.06
Crypto	ETH-USD	2020-04-04	141.48	144.48
Crypto	BTC-USD	2020-04-04	6738.6	6874.77
Crypto	ETH-USD	2020-04-05	144.62483934	142.79
Crypto	BTC-USD	2020-04-05	6874.77	6778.25
Crypto	ETH-USD	2020-04-06	142.95	171.251
Crypto	BTC-USD	2020-04-06	6778.64	7327.85
Crypto	ETH-USD	2020-04-07	171.56	164.645
Crypto	BTC-USD	2020-04-07	7343.98	7197.13
Crypto	ETH-USD	2020-04-08	164.74	173.78
Crypto	BTC-USD	2020-04-08	7204.7	7361
Crypto	ETH-USD	2020-04-09	173.78	170
Crypto	BTC-USD	2020-04-09	7370.38	7294.1
Crypto	ETH-USD	2020-04-10	169.71	158.16999
Crypto	BTC-USD	2020-04-10	7294.1	6873.8
Crypto	ETH-USD	2020-04-11	158.16999	158.58
Crypto	BTC-USD	2020-04-11	6871.83	6889.6
Crypto	ETH-USD	2020-04-12	158.68	159.03935858
Crypto	BTC-USD	2020-04-12	6882.6	6919
Crypto	ETH-USD	2020-04-13	158.92	156.76
Crypto	BTC-USD	2020-04-13	6908.12	6861.21
Crypto	ETH-USD	2020-04-14	156.76	158.65
Crypto	BTC-USD	2020-04-14	6860.51	6874.5
Crypto	ETH-USD	2020-04-15	158.55	152.77
Crypto	BTC-USD	2020-04-15	6876.92	6624.12
Crypto	ETH-USD	2020-04-16	153.00509048	172.5
Crypto	BTC-USD	2020-04-16	6623.62	7112.65
Crypto	ETH-USD	2020-04-17	172.58	170.89
Crypto	BTC-USD	2020-04-17	7112.4	7045.8
Crypto	ETH-USD	2020-04-18	171.24	187.87
Crypto	BTC-USD	2020-04-18	7045.8054993	7268.8
Crypto	ETH-USD	2020-04-19	187.78	180.22
Crypto	BTC-USD	2020-04-19	7262.54	7130.71
Crypto	ETH-USD	2020-04-20	180.28	170.5
Crypto	BTC-USD	2020-04-20	7133.3	6838.72
Crypto	ETH-USD	2020-04-21	170.177	171.07
Crypto	BTC-USD	2020-04-21	6837.1	6853.68
Crypto	ETH-USD	2020-04-22	170.712	183.11
Crypto	BTC-USD	2020-04-22	6841.82	7136.9
Crypto	ETH-USD	2020-04-23	183.1	185.66
Crypto	BTC-USD	2020-04-23	7136.81	7488.83
Crypto	ETH-USD	2020-04-24	185.83613412	187.72
Crypto	BTC-USD	2020-04-24	7491.5	7514.64
Crypto	ETH-USD	2020-04-25	187.71	194.42
Crypto	BTC-USD	2020-04-25	7508.4	7547.61
Crypto	ETH-USD	2020-04-26	194.51	197.5
Crypto	BTC-USD	2020-04-26	7547.61	7697.9
Crypto	ETH-USD	2020-04-27	197.4923796	196.78
Crypto	BTC-USD	2020-04-27	7706.4	7792.4
Crypto	ETH-USD	2020-04-28	196.63	196.55
Crypto	BTC-USD	2020-04-28	7789.77	7750.7
Crypto	ETH-USD	2020-04-29	196.64	215.66
Crypto	BTC-USD	2020-04-29	7750.6	8793.75
Crypto	ETH-USD	2020-04-30	215.31	206.23
Crypto	BTC-USD	2020-04-30	8794.99	8632.80215785
Crypto	ETH-USD	2020-05-01	206.22	212.031
Crypto	BTC-USD	2020-05-01	8621.01	8829.42
Crypto	ETH-USD	2020-05-02	211.973	213.835
Crypto	BTC-USD	2020-05-02	8823	8983.78
Crypto	ETH-USD	2020-05-03	214.25	210.24
Crypto	BTC-USD	2020-05-03	8982.4	8909.95
Crypto	ETH-USD	2020-05-04	209.87	206.86
Crypto	BTC-USD	2020-05-04	8901.34819902	8868.48
Crypto	ETH-USD	2020-05-05	206.59	205.43
